country,target,year,month,new_referring_main_domains,referring_main_domains,category
UK,qeeq.com,2024,10,55,1932,car rentals
UK,qeeq.com,2024,11,61,1898,car rentals
UK,qeeq.com,2024,12,67,1817,car rentals
UK,qeeq.com,2025,1,54,1680,car rentals
UK,suntransfers.com,2024,1,22,1833,car rentals
UK,suntransfers.com,2024,2,19,1610,car rentals
UK,suntransfers.com,2024,3,21,1550,car rentals
UK,suntransfers.com,2024,4,25,1435,car rentals
UK,suntransfers.com,2024,5,24,1339,car rentals
UK,suntransfers.com,2024,6,51,1298,car rentals
UK,suntransfers.com,2024,7,46,1291,car rentals
UK,suntransfers.com,2024,8,29,1267,car rentals
UK,suntransfers.com,2024,9,41,1267,car rentals
UK,suntransfers.com,2024,10,44,1269,car rentals
UK,suntransfers.com,2024,11,58,1283,car rentals
UK,suntransfers.com,2024,12,52,1280,car rentals
UK,suntransfers.com,2025,1,32,1274,car rentals
UK,sixt.com,2024,1,335,14661,car rentals
UK,sixt.com,2024,2,301,14238,car rentals
UK,sixt.com,2024,3,314,14264,car rentals
UK,sixt.com,2024,4,233,14132,car rentals
UK,sixt.com,2024,5,328,14009,car rentals
UK,sixt.com,2024,6,321,14028,car rentals
UK,sixt.com,2024,7,360,14151,car rentals
UK,sixt.com,2024,8,320,14095,car rentals
UK,sixt.com,2024,9,302,14120,car rentals
UK,sixt.com,2024,10,524,14221,car rentals
UK,sixt.com,2024,11,309,14017,car rentals
UK,sixt.com,2024,12,339,13750,car rentals
UK,sixt.com,2025,1,421,13319,car rentals
UK,economybookings.com,2024,1,104,2847,car rentals
UK,economybookings.com,2024,2,43,2701,car rentals
UK,economybookings.com,2024,3,53,2679,car rentals
UK,economybookings.com,2024,4,56,2634,car rentals
UK,economybookings.com,2024,5,74,2592,car rentals
UK,economybookings.com,2024,6,59,2585,car rentals
UK,economybookings.com,2024,7,54,2566,car rentals
UK,economybookings.com,2024,8,56,2501,car rentals
UK,economybookings.com,2024,9,61,2499,car rentals
UK,economybookings.com,2024,10,72,2452,car rentals
UK,economybookings.com,2024,11,71,2389,car rentals
UK,economybookings.com,2024,12,53,2249,car rentals
